event_month,coef,se,pct,ci_low,ci_high
-12,-0.08672044049435867,0.07787822929789225,-8.306660274705195,-21.286992912369698,6.814221194956557
-11,-0.024959772221456705,0.07884615398116414,-2.4650852631345175,-16.431057325112423,13.83486841202179
-10,0.0303872498402758,0.07505363097150246,3.085365458191387,-11.016378996776263,19.42189418504213
-9,-0.019114933794558087,0.07594053227951414,-1.8933401944106567,-15.461097847315038,13.851924417307465
-8,-0.011487516266062918,0.08135263870472798,-1.1421786681727406,-15.71267499752067,15.947075532270238
-7,0.06544743347652396,0.07724353265238784,6.763661389327631,-8.235978746000976,24.215125247230468
-6,0.13028768720836653,0.08829548204083522,13.915605681450488,-4.186966153837346,35.43841267574515
-5,0.1366671924634969,0.07772006424555399,14.644653897428547,-1.5542088990519847,33.50897504377524
-4,0.04699742337670407,0.0787563081618709,4.8119308467549295,-10.180217570009637,22.30647359213511
-3,-0.0007800436412274125,0.07572477026886136,-0.07797394862761553,-13.860369281911211,15.909613344958037
-2,-0.012998772136312703,0.08592383247852027,-1.291465297420263,-16.590625911266258,16.81390646529793
-1,0.0,0.0,0.0,0.0,0.0
0,-0.020427061225084586,0.08340838701843123,-2.021984216726706,-16.798723837020297,15.379138632716316
1,0.0282152242406504,0.07752777685699742,2.861704392180351,-11.638975986747273,19.742050848996335
2,0.06603460105589086,0.07582393497558008,6.826367957780365,-7.9262510918022135,23.942741838711285
3,0.01501312979417685,0.07599250407269431,1.5126392928822427,-12.535061710247888,17.816534690383364
4,0.025957035980100546,0.08054189013061848,2.6296853687759683,-12.35758087607126,20.179844693700336
5,0.07899046318589018,0.07588034821398064,8.219400133807982,-6.735908100277821,25.57285796460026
6,0.15373227808141243,0.08473268312605037,16.6178633400618,-1.2267908886005585,37.68638452015003
7,0.16549970789723017,0.07575916634549394,17.998261804321846,1.7157265573396092,36.887286362667005
8,0.0700468141943518,0.07822687376994035,7.255839103591367,-7.990454454753386,25.028495181061
9,0.024819346186066044,0.07487376722486187,2.5129910167404343,-11.479253487281374,18.716953270252738
10,0.0011678546934278111,0.08546445270445902,0.11685369012676532,-15.324380627464507,18.373912905340145
11,-0.0035487612658962053,0.10501596352106332,-0.35424718547076534,-18.8913076336327,22.419382735500186
12,-0.039174741027661074,0.09297286052819524,-3.8417333478505213,-19.860518254314318,15.378987287295057
13,-0.02884881535372477,0.10932329767628043,-2.843666117653477,-21.582453697951365,20.372973378936173
14,-0.011822693036701137,0.0758594636112949,-1.1753079610842116,-14.828834430331764,14.666973162389093
15,-0.03448419779090181,0.07676950666857753,-3.389639386293586,-16.88561802925972,12.297794396115439
